antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
time_of_day_Time_Evening,is_fraud_Fraud,0.2810477582247547,0.09481647038597095,0.051073915339367074,0.18172681988988904,1.9166165872883762,1.0,0.024425958894606095,1.1062119003976434,0.6652002862309949,0.15725196612220205,0.09601406417655073,0.3601938075618335
gender_M,is_fraud_Fraud,0.45991084476427896,0.09481647038597095,0.046505630533826184,0.10111879522576166,1.066468671678409,1.0,0.002898507541047042,1.007011298941748,0.11539937074405333,0.09150658451129637,0.00696248289280962,0.2957996514660086
dist_cat_Dist_Close,is_fraud_Fraud,0.2500030700838747,0.09481647038597095,0.023934373887094594,0.09573631987425091,1.009701368175123,1.0,0.00022996519608507043,1.0010172359108265,0.012810926996943743,0.07458859548411786,0.0010162021934625601,0.1740823808929602
age_cat_Age_Young,is_fraud_Fraud,0.2672569414596407,0.09481647038597095,0.023848411538603235,0.08923402104489271,0.9411236326520733,1.0,-0.0014919483367499577,0.9938705996160696,-0.07866143490108017,0.07051049306513688,-0.006167201631981306,0.17037792232143611
amount_cat_Amt_Med,is_fraud_Fraud,0.2499293880708821,0.09481647038597095,0.012464540531247313,0.049872248427672954,0.5259871858196913,1.0,-0.01123288189135932,0.9526966538090044,-0.5457579687274327,0.03751201123512454,-0.04965205451480348,0.09066595195635688
amount_cat_Amt_Very_High,is_fraud_Fraud,0.2500030700838747,0.09481647038597095,0.07351008829561223,0.29403674231260435,3.10111461769948,1.0,0.04980567960460271,1.282196374609129,0.9033840957441951,0.2709455483637351,0.2200882643231269,0.5346624587097278
time_of_day_Time_Night,is_fraud_Fraud,0.23804202330807678,0.09481647038597095,0.034016529331581336,0.14290136194799832,1.5071364855313367,1.0,0.011446224877974469,1.0561019343949885,0.4416123936326596,0.1138278200123279,0.05312170403998713,0.2508315901826509
dist_cat_Dist_Far,is_fraud_Fraud,0.24999078974837594,0.09481647038597095,0.023823850867605703,0.0952989143783465,1.0050881876367224,1.0,0.00012060655466332448,1.0005332634171031,0.00674982250702102,0.07422144004897084,0.0005329791987943818,0.1732808520862073
category_grocery_pos,is_fraud_Fraud,0.1058319313283639,0.09481647038597095,0.02160111014232909,0.20410768159665815,2.152660616513077,1.0,0.011566499959643163,1.1373190929018373,0.5988343890293097,0.12064471879286695,0.12073928395193963,0.21596395606837182
age_cat_Age_Adult,is_fraud_Fraud,0.25342928368803036,0.09481647038597095,0.018494185261141334,0.07297572321558365,0.7696523918104121,1.0,-0.005535084910602627,0.9764399404445516,-0.2861647438184726,0.056085207805750034,-0.024128529138947332,0.13401408878043786
